Term1	Term2	Correlation
amber	bloom	1.0
april	business	1.0
behold	content	1.0
behold	fictitious	1.0
blood	thine	1.0
born	nest	1.0
break	scene	1.0
content	fictitious	1.0
cricket	doth	1.0
esteem	sire	1.0
firmament	suffice	1.0
ground	life's	1.0
hell	hymn	1.0
lady	wear	1.0
larger	sod	1.0
led	neighbor	1.0
lift	silence	1.0
news	reach	1.0
parties	you'll	1.0
that's	wonder	1.0
oftener	pit	1.0
pit	secure	1.0
abode	creature	1.0
acclimated	notice	1.0
achieve	pools	1.0
adequate	sovereign	1.0
adjust	hay	1.0
adjusted	somewhat	1.0
adored	race	1.0
advancing	minor	1.0
advancing	route	1.0
advancing	stair	1.0
afflicts	green	1.0
ago	perish	1.0
ah	breeze	1.0
ah	pod	1.0
ah	stepped	1.0
ample	hour	1.0
arctic	bravest	1.0
arctic	tremendous	1.0
attention	justified	1.0
awful	cast	1.0
awful	force	1.0
band	sleep	1.0
band	souls	1.0
bars	somewhat	1.0
basis	notice	1.0
beginning	pit	1.0
begins	clear	1.0
begins	rope	1.0
beheld	notice	1.0
believed	quiet	1.0
believed	sentence	1.0
belong	hay	1.0
blossom	perish	1.0
blow	curiosity	1.0
blush	brave	1.0
bondage	notice	1.0
book	industry	1.0
book	mortality	1.0
bore	desire	1.0
bravest	tremendous	1.0
breeze	pod	1.0
breeze	stepped	1.0
brook	sealed	1.0
bud	perish	1.0
bumble	escape	1.0
called	clover	1.0
called	tongue	1.0
cared	perfect	1.0
carnations	notice	1.0
carts	stranger	1.0
cases	somewhat	1.0
cashmere	notice	1.0
cast	force	1.0
chair	notice	1.0
charge	evening	1.0
chased	somewhat	1.0
childhood	hay	1.0
chill	pit	1.0
circumference	looking	1.0
circumference	paused	1.0
clause	hinder	1.0
clause	mention	1.0
claw	curious	1.0
claw	sigh	1.0
clear	rope	1.0
clock	heavens	1.0
clock	hid	1.0
clouds	wherefore	1.0
clover	tongue	1.0
coat	twere	1.0
compare	eclipse	1.0
